topic,label,family,total_tweets,peak_day,peak_tweets,peak_authors,peak_originals,peak_rt_fraction,peak_likes,peak_views,peak_retweets,peak_per_100k,baseline_per_100k,share_lift,spike_score,baseline_tweets,low_baseline,window_boundary_peak,language_adjusted_share_lift
#stell,#stell,Hashtag / unclassified,16736,2026-08-21,3290,1122,732,0.7775075987841945,55943,827484,25611,13.380505376400938,4.012582785489129,3.335015908845067,14.073488284165416,13095,False,False,
#bounprem,#bounprem,Hashtag / unclassified,5178,2026-08-31,938,307,266,0.7164179104477613,8739,198694,3545,4.924117408387662,1.1847394542505538,4.157973746474142,14.072123689823162,3932,False,True,
#oneus,#oneus,Hashtag / unclassified,1572,2026-08-25,337,247,32,0.9050445103857567,11684,620012,3144,1.5748431839385062,0.29526233437842747,5.3388781355919335,14.071603638479274,973,False,False,
#borderline,#borderline,Hashtag / unclassified,1265,2026-08-19,323,194,158,0.5108359133126935,63101,1098457,4982,1.3858325607924629,0.25669268331965894,5.403944649418195,14.070404276047006,841,False,False,
#kazuta,#kazuta,Hashtag / unclassified,1538,2026-08-28,446,105,57,0.8721973094170403,10459,242422,2852,1.6219649254085242,0.32834639976288565,4.943008620161394,14.068774033659137,1062,False,False,
#심재윤,#심재윤,Hashtag / unclassified,2838,2026-08-28,737,487,15,0.9796472184531886,31281,419661,10767,2.6802424888477185,0.6124804311961173,4.377909618003026,14.067999625916817,1981,False,False,
#wonderwoman,#wonderwoman,Hashtag / unclassified,1524,2026-08-28,426,414,39,0.9084507042253521,24010,257786,2976,1.5492310722511913,0.310104933109392,4.999199888921835,14.062018564205802,1003,False,False,
#ほ,#ほ,Hashtag / unclassified,2109,2026-08-24,536,535,0,1.0,0,0,0,2.2512713698049653,0.47810082992434805,4.711665511960981,14.056982298879456,1564,False,False,
#seadlinnng,#seadlinnng,Hashtag / unclassified,1330,2026-08-25,326,124,165,0.49386503067484666,8978,522743,744,1.5234388070146974,0.2834275645523651,5.380418612994363,14.056392976639895,934,False,False,
#nowsnezhnaya,#nowsnezhnaya,Hashtag / unclassified,1715,2026-08-23,458,367,24,0.9475982532751092,37256,2014499,4508,1.8553816682133581,0.37884886887666397,4.900782878280715,14.053987100725232,1236,False,False,
#matchday,#matchday,Hashtag / unclassified,5258,2026-08-22,1087,665,301,0.7230910763569457,28312,1203034,3527,4.7105582938955886,1.1700094634123095,4.027412448937185,14.053087566962454,3836,False,False,
#starrgirl,#starrgirl,Hashtag / unclassified,3047,2026-08-18,705,619,95,0.8652482269503546,10195,244429,2396,3.1102966790678535,0.7049080416539971,4.414519142283567,14.052377060501081,2314,False,False,
#ケントゥリア,#ケントゥリア,Hashtag / unclassified,1690,2026-08-24,429,344,108,0.7482517482517482,4014,206726,589,1.8018571224744968,0.3619382241882533,4.982053603755465,14.04821704399117,1184,False,False,
#小田倉麗奈,#小田倉麗奈,Hashtag / unclassified,1319,2026-08-18,347,289,77,0.7780979827089337,17328,1320229,1927,1.5308836136688584,0.2903100102403886,5.2781008352581,14.045396633198195,953,False,False,
#moaスーパーファン,#moaスーパーファン,Hashtag / unclassified,1310,2026-08-28,373,136,136,0.6353887399463807,5438,81080,644,1.356486361384259,0.2624916133697645,5.171613569162741,14.044126569502367,849,False,False,
#tomafox,#tomafox,Hashtag / unclassified,14410,2026-08-22,2702,757,344,0.8726868985936344,107829,3868123,59046,11.709225860263,3.417001047603781,3.4272361432691976,14.042423214634367,11203,False,False,
#ちょとら,#ちょとら,Hashtag / unclassified,1541,2026-08-20,399,224,164,0.5889724310776943,52683,2282572,7189,1.6886829589162058,0.3330191180837398,5.074855179583935,14.040198221745195,1090,False,False,
#anneyarısı,#anneyarısı,Hashtag / unclassified,2297,2026-08-20,555,302,308,0.44504504504504505,22855,5767479,1671,2.348919905259384,0.5041115090258447,4.662309222469172,14.03870887425395,1650,False,False,
#womenagainstabusers,#womenagainstabusers,Hashtag / unclassified,3648,2026-08-17,804,410,540,0.32835820895522383,6521,175254,1945,3.6801310639313836,0.8599487757989532,4.28138182141693,14.037898970473261,2830,False,True,
#kimseonho,#kimseonho,Hashtag / unclassified,1400,2026-08-27,365,128,80,0.7808219178082192,11850,291148,3474,1.5515395289126417,0.2987067682885418,5.198646725739724,14.037265534145893,978,False,False,
#아이브,#아이브,Hashtag / unclassified,15731,2026-08-31,2271,1310,184,0.9189784236019375,162030,3113453,36089,11.921823704102751,3.3869929311369473,3.5205026335596794,14.033113793060224,11241,False,True,
#파리타,#파리타,Hashtag / unclassified,2922,2026-08-25,637,568,50,0.9215070643642073,32188,450826,8808,2.976780736406019,0.6606229208035319,4.508522194411466,14.03173853263788,2177,False,False,
#temblor,#temblor,Hashtag / unclassified,2560,2026-08-19,616,434,169,0.7256493506493507,48903,2871438,5663,2.64295002305931,0.5820605791802492,4.5431728639082385,14.02998777101437,1907,False,False,
#fuck,#fuck,Hashtag / unclassified,1316,2026-08-29,330,318,45,0.8636363636363636,1215,37548,12,1.4369287555047434,0.26923131067208006,5.342214558414586,14.026260976044767,883,False,False,
#縁day,#縁day,Hashtag / unclassified,1445,2026-08-29,311,298,19,0.9389067524115755,15385,352468,2203,1.3541964938241673,0.249412471268133,5.434952887601736,14.025950207029473,818,False,False,
#熊本県,#熊本県,Hashtag / unclassified,1890,2026-08-20,468,454,21,0.9551282051282052,839,70844,100,1.9807108390295347,0.40817756124759297,4.855938432408352,14.021837461141686,1336,False,False,
#玉城デニー,#玉城デニー,Hashtag / unclassified,9454,2026-08-31,1432,988,189,0.8680167597765363,32122,1032987,14255,7.517415915576899,1.9750679355575738,3.807193989072315,14.017080378114606,6555,False,True,
