topic,label,peak_day,peak_tweets,share_lift,peak_n,baseline_n,peak_mean,baseline_mean,mean_shift,language_adjusted_shift,language_adjusted_q,strong_sentiment_shift,unsupported_peak_posts,unsupported_baseline_posts
#gaboronerevival,#gaboronerevival,2026-08-29,6610,958.4169716849896,173,8,0.12080878782694394,-0.2215546197257936,0.34236340755273753,,,False,27,6
#healinggratis,#healinggratis,2026-08-30,7296,1235.3965644816387,167,4,0.4673803630257081,0.31173124723136425,0.15564911579434387,,,False,33,3
#pokemonpersonalityquiz,#pokemonpersonalityquiz,2026-08-24,16749,1750.0738970039974,0,0,,,,,,False,200,54
#prepareinhaste,#prepareinhaste,2026-08-17,2362,618.9065002306043,152,7,0.12752550984977892,-0.22614189982414246,0.3536674096739214,,,False,48,1
#timetochooseisnow,#timetochooseisnow,2026-08-24,2370,420.26047786078067,154,6,0.14221965632848926,0.023074495295683544,0.11914516103280572,,,False,46,1
#whybealert,#whybealert,2026-08-18,2430,506.47077730429714,151,6,0.04501635134713539,-0.14388663321733475,0.18890298456447013,,,False,49,0
#whytheinstructions,#whytheinstructions,2026-08-25,2414,450.69780992285433,152,7,0.01782987555979114,0.07024972247225898,-0.05241984691246784,,,False,48,1
#เปิดกล้องyourtuber,#เปิดกล้องyourtuber,2026-08-25,10275,167.89346462102642,20,6,0.31710788551717994,0.29087199581166107,0.026235889705518878,,,False,180,61
entity:borzoi,Borzoi dog memes,2026-08-29,333,3.8894972193332724,7,71,-0.18548678287437984,-0.1324562078840296,-0.05303057499035024,,,False,33,229
entity:familymart,FamilyMart cream-puff anniversary campaign,2026-09-05,1067,2.164679368120915,0,0,,,,,,False,2,4
entity:iriam,IRIAM,2026-08-18,40632,3.128867696590749,9,45,-0.1148153766989708,-0.32969387496511143,0.21487849826614064,,,False,191,255
entity:shigure-mezzo,Shigure Ui / Mezzo Piano,2026-08-23,5041,4.715109159587484,0,3,,-0.3450692097345988,,,,False,200,297
entity:suica,Suica mascot discourse,2026-08-26,4329,6.093717665695196,5,2,0.051013785600662234,-0.681512326002121,0.7325261116027832,,,False,195,298
